Severity,Code,Description,Last Change,DN
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::2 on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason Health grp service is down.",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::2/fault-F2911
major,F2911,"PBR service health grp common::COMM-EW-FW-ONEARM--ndo--implct::3 on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason Health grp service is down.",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::3/fault-F2911
major,F2995,"PBR service health grp dest ip 10.220.245.8 in vrf common:COMMON-VRF on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason : tracked as down",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::3/dest-[10.220.245.8]-[vxlan-2195456]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.136 in vrf common:CRITICAL-VRF on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason : tracked as down",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::3/dest-[10.220.245.136]-[vxlan-2457600]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.133 in vrf common:CRITICAL-VRF on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason : tracked as down",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/healthgrp-common::CRITICAL-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.133]-[vxlan-2457600]/fault-F2995
major,F2995,"PBR service health grp dest ip 10.220.245.5 in vrf common:COMMON-VRF on nodeid 1103 fabric hostname DC-SVR-LEAF-1103-LT3 is in failed state, reason : tracked as down",2024-09-06T23:04:04.407+07:00,topology/pod-1/node-1103/sys/svcredir/inst/healthgrp-common::COMM-EW-FW-ONEARM--ndo--implct::2/dest-[10.220.245.5]-[vxlan-2195456]/fault-F2995
major,F3696,6 EPs are in freeze state.,2025-09-25T15:16:59.865+07:00,topology/pod-1/node-1501/sys/coop/inst/dom-overlay-1/fault-F3696
major,F3696,7 EPs are in freeze state.,2025-09-25T16:11:01.861+07:00,topology/pod-1/node-1502/sys/coop/inst/dom-overlay-1/fault-F3696
critical,F0532,"Port is down, reason being linkNotConnected(connected), used by EPG on node 1112 of fabric DC-ACI-01 with hostname DC-SVR-LEAF-1112-LT3",2025-02-21T23:48:52.682+07:00,topology/pod-1/node-1112/sys/phys-[eth1/3]/phys/fault-F0532
critical,F0532,"Port is down, reason being linkNotConnected(connected), used by EPG on node 1112 of fabric DC-ACI-01 with hostname DC-SVR-LEAF-1112-LT3",2024-09-05T23:12:52.781+07:00,topology/pod-1/node-1112/sys/phys-[eth1/48]/phys/fault-F0532
major,F2833,"PBR service redir grp id 5 on nodeid 1112 fabric hostname DC-SVR-LEAF-1112-LT3 is in failed state, reason tracked as down.",2025-02-18T21:52:36.934+07:00,topology/pod-1/node-1112/sys/svcredir/inst/destgrp-5/fault-F2833
major,F4203,The PBR destination in the PBR destination group on nodeid 1112 fabric hostname DC-SVR-LEAF-1112-LT3 is in failed state. Reason: Service Device is tracked as down,2025-02-18T21:52:36.934+07:00,topology/pod-1/node-1112/sys/svcredir/inst/destgrp-5/rsdestAtt-[topology/pod-1/node-1112/sys/svcredir/inst/dest-[10.220.245.34]-[vxlan-2195456]]/fault-F4203
major,F2911,"PBR service health grp common::COMM-NS-FW-ONEARM--ndo--implct on nodeid 1112 fabric hostname DC-SVR-LEAF-1112-LT3 is in failed state, reason Health grp service is down.",2025-02-18T21:52:36.934+07:00,topology/pod-1/node-1112/sys/svcredir/inst/healthgrp-common::COMM-NS-FW-ONEARM--ndo--implct/fault-F2911
